LEXEME	REPLACEMENT	Comment
mu’i:- PUA	mu’i:	Invalid multi-word string: mu’i:- PUA (1 cases)
heme tubar	heme	Invalid multi-word string: heme tubar (1 cases)
wo- SUA	wo	Invalid multi-word string: wo- SUA (1 cases)
wɨL- SUA	wɨL	Invalid multi-word string: wɨL- SUA (1 cases)
hukwa SUA	hukwa	Invalid multi-word string: hukwa SUA (2 cases)
pɨttɨ PUA	pɨttɨ	Invalid multi-word string: pɨttɨ PUA (1 cases)
waki PUA	waki	Invalid multi-word string: waki PUA (1 cases)
sep- PUA	sep	Invalid multi-word string: sep- PUA (1 cases)
sinwa PUA	sinwa	Invalid multi-word string: sinwa PUA (2 cases)
taká ‘cuerpo’	taká	Invalid multi-word string: taká ‘cuerpo’ (1 cases)
oki¢i ‘girl’ SUA	oki¢i	Invalid multi-word string: oki¢i ‘girl’ SUA (2 cases)
musi SUA	musi	Invalid multi-word string: musi SUA (2 cases)
wi¢iki PUA	wi¢iki	Invalid multi-word string: wi¢iki PUA (1 cases)
¢u SUA	¢u	Invalid multi-word string: ¢u SUA (1 cases)
atɨ PUA	atɨ	Invalid multi-word string: atɨ PUA (1 cases)
kowa PUA	kowa	Invalid multi-word string: kowa PUA (1 cases)
kua-wi SUA	kua-wi	Invalid multi-word string: kua-wi SUA (1 cases)
po’owa PUA	po’owa	Invalid multi-word string: po’owa PUA (2 cases)
sàmwá SUA	sàmwá	Invalid multi-word string: sàmwá SUA (1 cases)
nawa SUA	nawa	Invalid multi-word string: nawa SUA (1 cases)
pa¢i PUA	pa¢i	Invalid multi-word string: pa¢i PUA (1 cases)
yes <pauso	yes	Invalid multi-word string: yes <pauso (2 cases)
pau PUA	pau	Invalid multi-word string: pau PUA (1 cases)
ohomɨ PUA	ohomɨ	Invalid multi-word string: ohomɨ PUA (1 cases)
wip PUA	wip	Invalid multi-word string: wip PUA (1 cases)
tawari ’egg	tawari	Invalid multi-word string: tawari ’egg (1 cases)
tapari ’turkey hen’	tapari	Invalid multi-word string: tapari ’turkey hen’ (1 cases)
kwasi PUA	kwasi	Invalid multi-word string: kwasi PUA (1 cases)
ana PUA	ana	Invalid multi-word string: ana PUA (3 cases)
¢omi PUA	¢omi	Invalid multi-word string: ¢omi PUA (2 cases)
muu PUA	muu	Invalid multi-word string: muu PUA (1 cases)
nakas <nakasV	nakas	Invalid multi-word string: nakas <nakasV (1 cases)
nakka PUA	nakka	Invalid multi-word string: nakka PUA (1 cases)
yeka SUA	yeka	Invalid multi-word string: yeka SUA (2 cases)
tame SUA	tame	Invalid multi-word string: tame SUA (1 cases)
nenɨ SUA	?nenɨ	Invalid multi-word string: nenɨ SUA (1 cases)
ikši <kèsi	ikši	Invalid multi-word string: ikši <kèsi (1 cases)
taŋa PUA	taŋa	Invalid multi-word string: taŋa PUA (2 cases)
ma PUA	ma	Invalid multi-word string: ma PUA (1 cases)
ihte- < hòté	ihte	Invalid multi-word string: ihte- < hòté (1 cases)
poka PUA	poka	Invalid multi-word string: poka PUA (2 cases)
siku SUA	siku	Invalid multi-word string: siku SUA (1 cases)
kusi-pa PUA	kusi-pa	Invalid multi-word string: kusi-pa PUA (1 cases)
nɨma PUA	nɨma	Invalid multi-word string: nɨma PUA (1 cases)
hipi PUA	hipi	Invalid multi-word string: hipi PUA (1 cases)
kwa PUA	kwa	Invalid multi-word string: kwa PUA (1 cases)
kɨ¢a PUA	kɨ¢a	Invalid multi-word string: kɨ¢a PUA (1 cases)
piso PUA	piso	Invalid multi-word string: piso PUA (2 cases)
kahi PUA	kahi	Invalid multi-word string: kahi PUA (1 cases)
ko¢i SUA	ko¢i	Invalid multi-word string: ko¢i SUA (1 cases)
muki PUA	muki	Invalid multi-word string: muki PUA (1 cases)
yiwa SUA	yiwa	Invalid multi-word string: yiwa SUA (1 cases)
ok < hó-kà	ok	Invalid multi-word string: ok < hó-kà (2 cases)
wo SUA	wo	Invalid multi-word string: wo SUA (1 cases)
auhká < wauhká	auhká	Invalid multi-word string: auhká < wauhká (3 cases)
yasi SUA	yasi	Invalid multi-word string: yasi SUA (1 cases)
ihkak < kèká	ihkak	Invalid multi-word string: ihkak < kèká (1 cases)
maka PUA	maka	Invalid multi-word string: maka PUA (1 cases)
kwika PUA	kwika	Invalid multi-word string: kwika PUA (1 cases)
tawa PUA	tawa	Invalid multi-word string: tawa PUA (1 cases)
mé¢a SUA	mé¢a	Invalid multi-word string: mé¢a SUA (1 cases)
suu PUA	suu	Invalid multi-word string: suu PUA (1 cases)
ilwika- < ƛèwíka	ilwika	Invalid multi-word string: ilwika- < ƛèwíka (1 cases)
tawika SUA	tawika	Invalid multi-word string: tawika SUA (1 cases)
sudagi < sbuyawi	sudagi	Invalid multi-word string: sudagi < sbuyawi (1 cases)
pa: PUA	 pa:	Invalid multi-word string: pa: PUA (1 cases)
heka SUA	heka	Invalid multi-word string: heka SUA (1 cases)
yuku SUA	yuku	Invalid multi-word string: yuku SUA (1 cases)
hoda < soya?	hoda	Invalid multi-word string: hoda < soya? (1 cases)
te SUA	te	Invalid multi-word string: te SUA (1 cases)
siCa SUA	siCa	Invalid multi-word string: siCa SUA (1 cases)
ƛa:l < ƛɨhal	ƛa:l	Invalid multi-word string: ƛa:l < ƛɨhal (1 cases)
kwi PUA	kwi	Invalid multi-word string: kwi PUA (2 cases)
ista- < tòsá	ista	Invalid multi-word string: ista- < tòsá (1 cases)
oŋa PUA	oŋa	Invalid multi-word string: oŋa PUA (1 cases)
ƛahi PUA	tahi	Invalid multi-word string: ƛahi PUA (2 cases)
po PUA	po	Invalid multi-word string: po PUA (1 cases)
‘oidaga <huya	‘oidaga	Invalid multi-word string: ‘oidaga <huya (1 cases)
hu-ya SUA	huya	Invalid multi-word string: hu-ya SUA (1 cases)
kosawa SUA?	kosawa	Invalid multi-word string: kosawa SUA? (2 cases)
ista-k <tòsá-kì	istak	Invalid multi-word string: ista-k <tòsá-kì (1 cases)
tòsá PUA	tòsá	Invalid multi-word string: tòsá PUA (2 cases)
ƛil-tik <tɨri	ƛil-tik	Invalid multi-word string: ƛil-tik <tɨri (1 cases)
yuppa PUA	yuppa	Invalid multi-word string: yuppa PUA (2 cases)
tɨwa PUA	tɨwa	Invalid multi-word string: tɨwa PUA (1 cases)
oidha <wiya	oidha	Invalid multi-word string: oidha <wiya (1 cases)
