Grapheme	IPA	CLTS	Frequency	Examples
?	NULL	?	4	?bástakɨra’i?, ?tabí?
^-	NULL  	    		
-$	NULL			
C	ts			
I	i	?	1	¢i¢I
L	ʟ	voiced velar lateral approximant consonant	1	ɨLida
-	+			
N	ŋ	voiced velar nasal consonant	2	toNa
ŋ	ŋ			
a	a	unrounded open front vowel	339	-wa¢i-, ?bástakɨra’i?, ?tabí?
a:	aː	long unrounded open front vowel	12	a:-, ha:, kwa:
aa	aː	long unrounded open front vowel	8	aatɨ, baakot, daak
ai	ai	from unrounded open front to unrounded close front diphthong	17	aiȿɨa, dɨvirai, hai
aiya	ai j a	unrounded open front vowel	1	maiya
aiye	ai j e	unrounded open front vowel	1	taʂaiye
au	a u	from unrounded open front to rounded close back diphthong	2	tau
aye	a j e	unrounded open front vowel	1	¢iɨraye
ayo	a j o	unrounded open front vowel	1	ye:wayo-
aá	a	unrounded open front vowel	3	naá, naámu, taáta
aí	a i	unrounded open front vowel	1	haítɨri
aú	a u	unrounded open front vowel	1	taúmwa
aɨ	a ɨ	from unrounded open front to unrounded close central diphthong	3	haɨtɨ, saɨ́, tiʂaɨ
aɨ́	a ɨ			
y	j			
b	b	voiced bilabial stop consonant	20	-bé’ene, -téhebee, ?bástakɨra’i?
bw	bʷ	labialized voiced bilabial stop consonant	6	bwa, bwasia, bweru
c	ts	voiceless alveolar affricate consonant	1	cóoni
d	d	voiced alveolar stop consonant	9	daak, dahi, duku
e	e	unrounded close-mid front vowel	122	-bé’ene, -téhebee, -yeiwe
e:	eː	long unrounded close-mid front vowel	10	-te:-, e-te:wi, e:wa-yo
e:ya	eː j a	unrounded close-mid front vowel	1	we:ya-k
e:yi	eː j i	unrounded close-mid front vowel	1	we:yi
ee	eː	long unrounded close-mid front vowel	10	-téhebee, beewa, eeka
eiya	ei j a	unrounded close-mid front vowel	2	¢eiya, ʂeiya
eye	e j e	unrounded close-mid front vowel	1	keye
eé	eː	unrounded close-mid front vowel	2	neéčira’a, teé
g	g	voiced velar stop consonant	18	a’aga, gak-, gii
h	h	voiceless glottal fricative consonant	93	-téhebee, ahmo, bahi
hs	h s	voiceless glottal fricative consonant	1	wahsi
hw	h w	labialized voiceless glottal fricative consonant	2	ihwi-
i	i	unrounded close front vowel	239	-wa¢i-, -í’i-, ?bástakɨra’i?
i:	iː	long unrounded close front vowel	4	i:, i:š, wi:ki
i:ya	iː j a	unrounded close front vowel	3	mi:yak, wi:ya, či:ya
ia	i a	from unrounded close front to unrounded open front diphthong	10	ba¢ia, bwasia, hiapsi
ie	i e	from unrounded close front to unrounded close-mid front diphthong	8	ha-mie, hotie-, kunieri
ii	iː	long unrounded close front vowel	6	biite, gii, ii
iu	i u	from unrounded close front to rounded close back diphthong	1	sɨéheniu’ukari
iy	i j	unrounded close front vowel	1	siyó-
iya	i j a	unrounded close front vowel	12	bwiya, iya, iyari
iye	i j e	unrounded close front vowel	1	wiyeri
ií	iː	unrounded close front vowel	1	iínee
iɨ	i ɨ	from unrounded close front to unrounded close central diphthong	2	vasiɨȿa’a, ¢iɨraye
k	k	voiceless velar stop consonant	200	?bástakɨra’i?, ake, baakot
kk	k k	from voiceless velar stop to voiceless velar stop cluster	5	hikkaha, mɨkka, sukka
kw	kʷ	labialized voiceless velar stop consonant	24	hekwa, héhkwa, hɨnkwa-ki
l	l	voiced alveolar lateral approximant consonant	22	bemela, elá, kwal-
lw	l w	labialized voiced alveolar lateral approximant consonant	1	nelwa-
m	m	voiced bilabial nasal consonant	89	ahmo, atemi, bemela
mm	m m	from voiced bilabial nasal consonant to voiced bilabial nasal stop cluster	3	tommo
mw	mʷ	labialized voiced bilabial nasal consonant	13	hamwámwa, kɨmwáhara, mwahka’a
n	n	voiced alveolar nasal consonant	97	-bé’ene, ana, aná
o	o	rounded close-mid back vowel	103	ahmo, baakot, bó’oka
o:	oː	long rounded close-mid back vowel	7	ko:wa-, o:me, po:k-
oa	o a	from rounded close-mid back to unrounded open front diphthong	1	oam
oe	o e	from rounded close-mid back to unrounded close-mid front diphthong	1	tihoe
oi	o i	from rounded close-mid back to unrounded close front diphthong	3	noite, sinoi, voi
oo	oː	long rounded close-mid back vowel	1	koosig
oyi	o j i	rounded close-mid back vowel	3	o’oyi, tihoyi, woyi
p	p	voiceless bilabial stop consonant	62	hepi, ke:č-pa-, kepá
ps	p s	from voiceless bilabial stop to voiceless alveolar sibilant fricative cluster	2	hiapsi, yépsa
pw	pʷ	labialized voiceless bilabial stop consonant	3	kɨpwá, tahapwá, wá’apwa
r	r	voiced alveolar trill consonant	69	?bástakɨra’i?, bweru, dɨvirai
s	s	voiceless alveolar sibilant fricative consonant	95	?bástakɨra’i?, bwasia, bísata
ss	s s	voiceless alveolar sibilant fricative consonant	1	mássa
sw	s w	labialized voiceless alveolar sibilant fricative consonant	1	iswa-
t	t	voiceless alveolar stop consonant	187	-te:-, -téhebee, ?bástakɨra’i?
tt	t t	voiceless alveolar stop consonant cluster	3	kútta, vette, étte
u	u	rounded close back vowel	94	bweru, duku, huka
u:	uː	long rounded close back vowel	2	su:ta-, u:me
ua	u a	from rounded close back to unrounded open front diphthong	1	tekua
ui	u i	from rounded close back to unrounded close front diphthong	2	mui, ¢ukui
uu	uː	long rounded close back vowel	8	huubi, huusi, huuta
uye	u j e	rounded close back vowel	2	huye
uyua	u j u a	rounded close back vowel	1	muyuawi¢ie
v	v	voiced labio-dental fricative consonant	24	dɨvirai, hɨvɨri, kova
w	w	voiced labio-velar approximant consonant	112	-wa¢i-, -yeiwe, awa
x	ʃ	voiceless palatal sibilant consonant	1	mex-
ya	j a	from rounded close front to unrounded open front diphthong	9	ki’ya, kwai-ya, wa:l-yawi
ò	o			
yai	j ai	rounded close front vowel	1	yai-wi
yau	j au	rounded close front vowel	1	yauri
ye	j e	from rounded close front to unrounded close-mid front diphthong	11	ho-ye, tyevi, yehyeka-
ye:	j eː	rounded close front vowel	1	ye:wayo-
yei	j	rounded close front vowel	2	-yeiwe, yeih
yeiya	j e i j a	rounded close front vowel	1	yeiya
yo	j o	from rounded close front to rounded close-mid back diphthong	4	e:wa-yo, yo:lyoh, yore
yo:	j	oː rounded close front vowel	2	yo:lyoh, yo:wa-
yu	j u	from rounded close front to rounded close back diphthong	1	yu’kí
yé	j e	rounded close front vowel	3	yéka, yépsa, yésasa
yú	j u	rounded close front vowel	1	yúke
yɨ	j ɨ	from rounded close front to unrounded close central diphthong	2	yɨwa, yɨwi
¢	ts	?	54	-wa¢i-, ba¢ia, ha¢i
à	a	?	3	nákàsa, wáukà
á	a	?	67	?bástakɨra’i?, aná, awá
áa	aː	?	1	báa
ái	a i	?	1	nasáih
áu	au	?	2	wáukà
é	e	?	32	-bé’ene, -téhebee, até
ée	eː	?	3	héeka, sée’e, téeka
éi	e i	?	1	séihra
éye	e j e	?	1	wéyek
ì	i	?	1	síwì
í	i	?	33	-í’i-, ?tabí?, bwíka
ía	i a	?	1	síali
íi	i i	?	2	bwíiči, síiku
íy	i j	?	1	¢íyòwí
òw	o w	?	1	¢íyòwí
ó	o	?	17	bó’oka, cóoni, kuhtamó
ós	o s	?	1	tósa
ú	u	?	16	kočú, kútana, kútta
úu	uː	?	1	múuke
č	tʃ	voiceless post-alveolar sibilant affricate consonant	25	ač-, bwíiči, ke:č-pa-
čw	tʃʷ	voiceless post-alveolar sibilant affricate consonant	1	čwíka
š	ʃ	voiceless post-alveolar sibilant fricative consonant	8	i:š, neš, ša:l-
ƛ	tɬ	voiceless alveolar lateral affricate consonant	7	paƛani, yesoƛa, ƛa:n-
ȿ	ʂ	voiceless retroflex sibilant fricative consonant	2	aiȿɨa, vasiɨȿa’a
ɨ	ɨ	unrounded close central vowel	73	?bástakɨra’i?, aatɨ, dɨvirai
ɨ:	ɨː	long unrounded close central vowel	1	te-pɨ:ti
ɨa	ɨ a	from unrounded close central to unrounded open front diphthong	1	aiȿɨa
ɨi	ɨ i	from unrounded close central to unrounded close front diphthong	2	kɨipi, mɨiré
ɨiya	ɨ i j a 	unrounded close central vowel	1	mɨiya
ɨye	ɨ j e	unrounded close central vowel	1	kɨye
ɨyi	ɨ j i	unrounded close central vowel	1	kɨyi
ɨyé	ɨ	y e unrounded close central vowel	1	kɨyé
ɨé	ɨ	e unrounded close central vowel	1	sɨéheniu’ukari
ɨí	ɨ i	unrounded close central vowel	1	ɨíta’a
ɨɨ	ɨː	long unrounded close central vowel	7	kɨɨ¢í, nɨɨni, tɨɨg
ʂ	ʂ	voiceless retroflex sibilant fricative consonant	18	hɨʂi, kwaʂi, naʂi
ɨ́	ɨ	unrounded close central vowel with high tone or accent	2	saɨ́, tɨ́ka’a
‘	ʔ	?	1	‘uka
’	ʔ	?	80	-bé’ene, -í’i-, ?bástakɨra’i?
a’a	aˀa			
u’u	uˀu			
i’i	iˀi			
e’e	eˀe			
o’o	oˀo			
á’a	aˀa 			
ú’u	uˀu			
í’i	iˀi			
é’e	eˀe			
ó’o	oˀo			
a’á	aˀa			
u’ú	uˀu			
i’í	iˀi			
e’é	eˀe			
o’ó	oˀo			
ɨ’ɨ  ɨˀɨ		
po'i p oʔ i			
tai-riya	t ai + r i j a			
taitia	t ai t i a			
kuppa	k u pp a			
wa’í-raa	w aʔ i + r aː			
mátai	m a t ai				
kwai-ya	kʷ ai + j a			
yauri	j au r i			
ta’ú	t aʔ u			
yu’kí	j uʔ k i			
maskɨrai	m a s k ɨ r ai			
he’ika	h eʔ i k a			
mu’i’í	m uʔ iˀi			
mu’i:-	m uʔ iː			
yuppa	j u pp a			
wi’¢i	w iʔ ts i			
iínee	iː n eː			
maiya	m ai j a			
ɨ¢itukai	ɨ ts i t u k ai			
auhká	au h k a			
yeih	j ei h			
tau	t au			
tawa	t aw a			
ɨ’ɨ	ɨˀɨ						
po'i p oʔ i				
tai-riya	t ai + r i j a				
taitia	t ai t i a				
kuppa	k u pp a				
wa’í-raa	w aʔ i + r aː				
mátai	m a t ai					
kwai-ya	kʷ ai + j a				
yauri	j au r i				
ta’ú	t aʔ u				
yu’kí	j uʔ k i				
maskɨrai	m a s k ɨ r ai				
he’ika	h eʔ i k a				
mu’i’í	m uʔ iˀi				
mu’i:-	m uʔ iː				
yuppa	j u pp a				
wi’¢i	w iʔ ts i				
iínee	iː n eː				
maiya	m ai j a				
ɨ¢itukai	ɨ ts i t u k ai				
auhká	au h k a				
yeih	j ei h				
tau	t au				
tawa	t aw a			

