 	Cora 	Huichol 	Nahua 	Tepiman 	Cahitan 	Tarahumaran 	CoracholNahua 	PUA 
1.  	A 	B 	A 	A 	A 	A 	A 	A 
2.  	A 	B 	A 	A 	? 	A 	? 	A 
3.  	a 	a 	a 	A 	A 	B 	a 	A 
4.  	A 	A 	A 	A 	A 	A 	A 	B 
5.  	A 	B 	A 	A 	A 	A 	A 	A 
6.  	A 	B 	C 	? 	D 	? 	? 	D 
7.  	A 	? 	B 	? 	? 	? 	? 	? 
8.  	A 	A 	B 	A 	A 	A 	- 	A/B 
9.  	a 	a 	A 	B 	C 	E 	A 	A/B 
10.  	A 	B 	C 	C 	C 	? 	- 	C 
11.  	? 	A 	A 	A 	A 	A 	? 	A 
12.  	A 	A 	A/B 	B 	B 	B 	A 	B 
13.  	A/B 	C 	D/B 	B 	B 	B 	? 	B 
14.  	A 	B 	C 	C 	B 	C 	? 	B/C 
15.  	A 	A 	B 	B/C 	D 	D 	? 	A/B 
16.  	A 	A 	A 	B 	C 	B 	A 	A/B 
17.  	A 	A 	A 	? 	? 	? 	? 	B 
18.  	A 	B 	C 	D 	B 	B 	? 	B/C 
19.  	A 	B 	C 	B 	B 	? 	? 	B 
20.  	a 	a 	A/B 	C 	B 	C 	A 	A 
21.  	A 	A 	A 	A 	a 	a 	A 	A 
22.  	A 	A 	A 	A 	A 	b 	? 	A 
23.  	a 	a 	A 	A 	A 	A 	? 	A 
24.  	A 	B 	C 	D 	? 	? 	? 	C 
25.  	a 	a 	A 	A 	A 	A 	? 	A 
26.  	a 	a 	a 	B 	A 	A 	a 	A 
27.  	a 	a 	a 	B 	A 	A 	a 	A 
28.  	a 	a 	a/B 	C 	D 	C 	A 	B 
29.  	A 	A 	B 	C 	C 	D 	? 	? 
30.  	A 	A 	B 	C 	B 	D 	? 	B 
31.  	A 	b 	b 	B 	B 	B 	b 	B 
32.  	A 	B 	A 	B 	B 	B 	A 	B 
33.  	A 	A 	A 	B 	C 	C 	A 	A 
34.  	A 	A 	B 	A 	A 	A 	? 	A 
35.  	A 	A 	B 	A 	A 	A 	? 	A 
36.  	A 	A 	B/C 	A 	D 	D 	? 	A/B/C 
37.  	A 	A 	B 	? 	B 	A 	A 	A/B 
38.  	A 	A 	B 	A 	B 	A 	? 	A 
39.  	a 	A 	a 	A 	A 	A 	a 	A 
40.  	a 	a 	a 	A 	A 	A 	A 	A 
41.  	A 	A 	A/B 	B 	B 	B 	A 	A/B 
42.  	A 	A 	B 	A 	A 	C 	A 	A 
43.  	A 	A 	A 	A 	A 	A 	? 	A 
44.  	A 	a 	a 	A 	A 	A 	a 	A 
45.  	A 	B 	B 	B 	B 	B 	B 	B 
46.  	A 	A 	a 	A 	B 	a 	? 	A 
47.  	A 	B 	a 	A 	A 	C 	? 	A/C 
48.  	A 	A 	A 	B 	A 	A 	? 	A 
49.  	A/B 	A/B 	B 	A 	C 	C 	A/B 	A/B 
50.  	a/B 	a/B 	a/(B) 	A 	A 	A 	a 	A 
51.  	a 	a 	A 	A 	B 	B 	? 	A 
52.  	? 	A 	A 	B 	B 	A/B 	? 	A 
53.  	A 	B 	B 	C 	C 	C 	B 	C 
54.  	A 	A/(B) 	B 	A 	a 	a 	A/B 	A 
55.  	A 	A 	A 	A 	A 	A 	A 	A 
56.  	A 	A 	A 	A 	A 	A 	A 	A 
57.  	a 	a 	A 	a 	a 	A 	? 	A 
58.  	A 	? 	B 	B 	B 	B 	? 	A/B 
59.  	A 	A 	A 	A/B 	B 	B 	A 	B 
60.  	A 	A 	B 	B 	B 	B 	? 	B 
61.  	A 	A 	A 	A 	A 	B 	? 	A 
62.  	A 	A 	A 	A 	A 	A 	? 	A 
63.  	A 	A 	A 	A 	A 	A 	? 	A 
64.  	A 	B 	C 	B 	B 	B 	? 	B 
65.  	A 	B 	C 	D 	D 	D 	? 	C D 
66.  	a 	a 	A 	B 	B 	B 	a 	A 
67.  	A 	B 	C 	D 	D 	E 	B 	B 
68.  	ab 	b 	ab 	a 	ab 	a 	ab 	A 
69.  	A/B/C 	C 	B 	B 	B 	B 	B 	B 
70.  	A 	A 	B 	B 	C 	C 	? 	B 
71.  	? 	? 	A 	A 	A 	B 	? 	A 
72.  	A 	A 	A 	B 	A 	A 	? 	A 
73.  	A 	B 	B 	C 	C 	C 	B 	B 
74.  	A 	A 	A 	A 	A 	A 	? 	A 
75.  	a 	a 	A 	B 	C 	B 	A 	A 
76.  	A 	B 	C 	C 	C 	C 	? 	C 
77.  	a 	a 	a 	B 	A 	A 	a 	A 
78.  	A 	A 	A 	B 	A 	A 	? 	A 
79.  	a 	a 	A 	B 	B 	B 	A 	A 
80.  	A 	B 	A 	C 	D 	C 	A 	? 
81.  	A 	A 	A 	B 	A 	A 	A 	A 
82.  	A 	A 	a 	B 	A 	A 	A 	A 
83.  	A 	A 	B/(a) 	B 	A 	A 	A 	A/B 
84.  	A 	A 	B 	A 	A 	A 	? 	A(B) 
85.  	A 	A 	B 	? 	C 	D 	? 	A/B/D 
86.  	A 	A 	B/(A) 	A 	A 	C 	? 	A 
87.  	A 	A 	A 	A 	A/B 	B 	? 	A/B 
88.  	A 	A 	A 	B 	C 	C 	A 	A/C 
89.  	? 	a 	a/A 	B 	A 	A 	a 	? 
90.  	a 	a 	a 	A 	A 	A 	a 	A 
91.  	A 	B 	C 	A 	D 	D 	? 	A 
92.  	A 	B 	A/C 	D 	E 	B 	? 	B 
93.  	A 	b 	b 	B 	B 	B 	b 	B 
94.  	A 	B 	C 	D 	E 	E 	? 	C/E 
95.  	A 	B 	B 	B 	B 	B 	? 	A/B 
96.  	A 	B 	C/(B) 	D 	D 	? 	? 	C/B 
97.  	A 	A 	B 	A 	A 	A 	? 	A/B 
98.  	a 	A 	A 	A 	A 	A 	A 	A 
99.  	A 	B 	A/B 	B 	C 	D 	A/B? 	B 
100. 	A 	B 	C 	D 	B 	B 	? 	B 
